================ ACCOUNTS =================
ADMIN   | Name: Mr. Casandra Ziemann      | Email: mario_dibbert@gmail.com             | Password: password123
ADMIN   | Name: Dylan Mante               | Email: salvador_hackett-collier38@yahoo.com | Password: password123

TEACHER | Name: Richard McDermott-Berge   | Email: logan55@yahoo.com                   | Password: password123
TEACHER | Name: Ms. Tatyana O'Kon         | Email: izabella_koss98@gmail.com           | Password: password123
TEACHER | Name: Gunnar Pfeffer Sr.        | Email: estel19@yahoo.com                   | Password: password123
TEACHER | Name: Tyler Mante               | Email: patricia.bartoletti43@hotmail.com   | Password: password123
TEACHER | Name: Tamara Sipes-Wuckert      | Email: jody83@hotmail.com                  | Password: password123
TEACHER | Name: Leta Heller               | Email: orlando.stoltenberg76@gmail.com     | Password: password123
TEACHER | Name: Rosario Kerluke           | Email: kayley.bahringer27@hotmail.com      | Password: password123
TEACHER | Name: Ernest Schimmel           | Email: keara_mcglynn60@yahoo.com           | Password: password123
TEACHER | Name: Hubert Schumm II          | Email: yvette72@yahoo.com                  | Password: password123
TEACHER | Name: Dexter Legros             | Email: ottilie72@yahoo.com                 | Password: password123

STUDENT | Name: Belle Bruen               | Email: keeley.ward66@hotmail.com           | Password: password123
STUDENT | Name: Keith Gerhold             | Email: sophie17@hotmail.com                | Password: password123
STUDENT | Name: Miss Melinda Cremin       | Email: amara_harvey30@gmail.com            | Password: password123
STUDENT | Name: Rudy Funk                 | Email: kian84@yahoo.com                    | Password: password123
STUDENT | Name: Betty Sauer               | Email: sidney.fisher1@gmail.com            | Password: password123
STUDENT | Name: Darrin Schroeder          | Email: jo.conn@gmail.com                   | Password: password123
STUDENT | Name: Orville McCullough        | Email: jose_oconnell-hills@yahoo.com       | Password: password123
STUDENT | Name: Chaim Bins                | Email: demario56@hotmail.com               | Password: password123
STUDENT | Name: Lucious Rippin            | Email: jonathon_little@hotmail.com         | Password: password123
STUDENT | Name: Oscar McLaughlin-Dietrich | Email: jeffrey.fay@yahoo.com               | Password: password123
STUDENT | Name: Sydni Gusikowski          | Email: gabe_turner37@gmail.com             | Password: password123
STUDENT | Name: Deven Kiehn               | Email: christophe_nienow@hotmail.com       | Password: password123
STUDENT | Name: Mr. Anabel Smith I        | Email: matthew_marquardt99@hotmail.com     | Password: password123
STUDENT | Name: Ms. Sherry Kuhic-Lesch    | Email: willard79@gmail.com                 | Password: password123
STUDENT | Name: Macie Douglas             | Email: effie86@yahoo.com                   | Password: password123
STUDENT | Name: Erik Hintz                | Email: iliana17@gmail.com                  | Password: password123
STUDENT | Name: Elsie Wyman               | Email: johnson_altenwerth@yahoo.com        | Password: password123
STUDENT | Name: Moriah Bartell            | Email: bridget19@yahoo.com                 | Password: password123
STUDENT | Name: Toby Borer                | Email: clinton_sauer@yahoo.com             | Password: password123
STUDENT | Name: Nathaniel Sipes           | Email: kaylin29@gmail.com                  | Password: password123
STUDENT | Name: Jim Fadel II              | Email: marshall.abshire@gmail.com          | Password: password123
STUDENT | Name: Julius Conroy             | Email: cary47@gmail.com                    | Password: password123
STUDENT | Name: Gabrielle Stoltenberg     | Email: laurence.crona95@yahoo.com          | Password: password123
STUDENT | Name: Camille Pfannerstill      | Email: pete_funk75@gmail.com               | Password: password123
STUDENT | Name: Agnes Boyle               | Email: jermaine72@yahoo.com                | Password: password123
STUDENT | Name: Agustin McLaughlin        | Email: rusty.crona51@hotmail.com           | Password: password123
